age,poem_date,sex,text,Unnamed: 0,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
21.0, 5. des 2007,kvenmaður,"If you could see it with my eyseI could love you, longer then for a whileBut between us stands so muchNothing will ever seem enoughI would love you for all of timesI would keep you in my heart, no matter whatBut there is something in our wayWhy can´t you change that part?I would never leave you, not untill I leave coldI could sing for you whenever, even without a soundPlease try to make this “love” workPlease, just stay here in my heart forever…. ""All we have to decide is what we do with the time that is given to us""",10,10,0.0,0.557,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['mother', 'cry', 'empty', 'night', 'hear', 'star', 'loss', 'magic', 'light', 'leave', 'thousand', 'skar', 'tear', 'drip', 'face', 'forever', 'last', 'sorrow', 'leave', 'alone', 'trace', 'tomorrow', 'bear', 'dreadful', 'loss', 'horrible', 'pain', 'come', 'darkness', 'take', 'normal', 'strange', 'much', 'interesting']"
21.0, 7. nóv 2007,kvenmaður,"I just sat there smiling; helloNothing can make me change my mind(my words)Loosing my friend, loosing my wordsI´m just here smiling; helloThe one and only took my down; GoodbyeMy words just left here in the abyss(left alone)Lost my voice, lost my wordsSomeone took me down; GoodbyeThis was my first hello and my last goodbyeFor now I´ll just stay in heavenBut my mind will be back hereWith my lost voice and my lost wordsSomeday I´ll say hello againSomeday I will ""All we have to decide is what we do with the time that is given to us""",11,11,0.0,0.6071,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['meet', 'summer', 'smile', 'face', 'meet', 'love', 'blizzful', 'red', 'haze', 'day', 'fill', 'laughter', 'never', 'begin', 'winter', 'smile', 'laugh', 'turn', 'silence', 'eye', 'fill', 'tear', 'heart', 'break', 'poisione', 'fear', 'leave', 'winter', 'goodbye', 'bitter', 'cold', 'morning', 'leave', 'die', 'fuuu']"
21.0,26. okt 2007,kvenmaður,"My battle is my lifeYou took my heart, you brought it backAll this time you didn´t mean a thingMy love is my everythingAnd every little word I sayEvery little step I takeI still mean it…..for you_________________________________________________My victory is my mindI held my heart for myself, I held it tightMy time with you is wourthlessMy soul is my everythingAnd every little word I sayEvery little step I takeI still mean it….for me________________________________________________We were our battle and victoryWe took our souls and but it togetherOur time to gether were happieness and painOur love was our everythingand every little word we sayEvery little step we takeWe still mean it…..for the memories ""All we have to decide is what we do with the time that is given to us""",12,12,0.0,0.5,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['ekkisensludur', 'get', 'soldid']"
21.0,25. sep 2007,kvenmaður,"This is something that I´ve gotSome heart, right on this spotAnd I can dance to it´s beat…..Listen to my soul, listen to my mindThey´ll tell you stories of loveThey´ll tell you stories og my heart….I cant stop dancing to this beatHolding in my dreams of THE loveI´ll keep you to this beat….you´ll seeListen to my soul, listen to my mindThey´ll tell you storiesThey´ll tell you….about me ""All we have to decide is what we do with the time that is given to us""",13,13,1.0,0.5543,"feel, make, life, day, die, live, give, thing, find, cry","['even', 'wordshave', 'choke', 'still', 'surewhere', 'really', 'want', 'kick', 'faceevery', 'damn', 'surprise', 'still', 'leave', 'see', 'broken', 'heartscream', 'floori', 'try', 'find', 'reason', 'walk', 'door', 'see', 'dead', 'core', 'smoking', 'pain', 'brainbleede', 'screamingin', 'pour', 'rainthe', 'fear', 'frightof', 'fuck', 'loaded', 'gunshow', 'really', 'insane', 'fight', 'demonthat', 'live', 'eye', 'scream', 'full', 'lie', 'bleed', 'cry', 'fight', 'death', 'die']"
21.0,14. ágú 2007,kvenmaður,"When you look to the starsDo you think of me?´Cause I think of you….When you see the sunriseWill you remember me?Will you remember what we shared…?All i want is somethingSomething that gives me hopeHope for love at lonely nightsDo you think of me too?When you sit at home over TVDo you wish I was there…?Holding your hand when you´re almost asleep…Ohh do you ever….Do you ever…Dream….?All I want is somethingSomething that gives me loveGives me a dream at nightWill you think of me too….?Ohh yeah, will you ever….Will you ever…Love….?Ohh yeah, do you ever….will you ever…Love me like I love you….? ""All we have to decide is what we do with the time that is given to us""",14,14,0.0,0.5039,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['melancholy', 'town', 'branch', 'die', 'pierce', 'quiet', 'chant', 'young', 'boy', 'play', 'dirt', 'landscape', 'devour', 'winter', 'would', 'come', 'soon', 'hope', 'future', 'young', 'boy', 'rest', 'fleeting', 'motion', 'bring', 'hope', 'shall', 'brought', 'pure', 'notion', 'winter', 'would', 'come', 'soon', 'dreary', 'window', 'man', 'look', 'innothe', 'pride', 'leave', 'stand', 'lift', 'chinhereditable', 'wisdom', 'bring', 'far', 'would', 'soon', 'begin', 'winter', 'would', 'come', 'soon', 'hurricane', 'arise', 'judgment', 'descend', 'town', 'boy', 'long', 'go', 'town', 'outgrow']"
21.0,26. feb 2007,kvenmaður,"I can´t help it when I see youI just can´t help itMy heart stops and turnsI only need you to see meAnd when I´m alone, you´re in my mindSmiling like you always doAnd happy around your eyesMy heart stops and turnsI can´t help loving youI just can´t help itMy heart stops and it ask´sWhy did you fall down from heavenWhy did you fall right in front of me? ""All we have to decide is what we do with the time that is given to us""",15,15,0.0,0.6265,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['moment', 'mind', 'blank', 'moment', 'draw', 'heart', 'race', 'nearly', 'paralyze', 'fear', 'look', 'eye', 'even', 'blink', 'beautiful', 'deep', 'want', 'sink', 'locked', 'moment', 'body', 'mind', 'wait', 'kind', 'time', 'kiss', 'feel', 'deep', 'open', 'eye', 'wake', 'sleep', 'sure', 'plenty', 'fish', 'sea', 'nowhere', 'sea', 'desert', 'alone']"
21.0,23. jan 2007,kvenmaður,"All this time we´ve gottime to think over our timeWhen we meet, when we kissedor the time we missedI wish you could come againJust to think it overWhen you said the last wordWhen you heard me say “its over”How did you feel insideAngry? sceard? unloved?You did these things to mewhen you didn´t think it overThe last goodbye is so hard to beliveBut I got it when I thought it overI did this to you, I said “its over”You just took it the wrong wayAnd now….it is all over…. ""All we have to decide is what we do with the time that is given to us""",16,16,0.0,0.5835,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['see', 'eye', 'shine', 'bright', 'see', 'hair', 'pale', 'light', 'see', 'soul', 'sight', 'see', 'lip', 'slightly', 'apart', 'see', 'face', 'piece', 'art', 'see', 'smile', 'smother', 'heart', 'see', 'fang', 'sharp', 'pointy', 'see', 'mind', 'waver', 'darkly', 'see', 'plan', 'smart', 'tell', 'storyof', 'girl', 'know', 'vicious', 'evil', 'true', 'face', 'show', 'know', 'sweetness', 'kiss', 'gently', 'rip', 'dream', 'smash', 'harshly', 'cut', 'heart', 'drink', 'blood', 'smash', 'bone', 'crush', 'skull', 'smile', 'scream', 'voice', 'watch', 'die', 'painful', 'hope', 'see', 'real', 'run', 'fast', 'canfrom', 'murderer', 'wise', 'man', 'walk', 'arm', 'hope', 'wise', 'look', 'say', 'see', 'bloody', 'fang', 'see', 'dark', 'mind', 'see', 'plan', 'good', 'run', 'word', 'politic', 'derive', 'word', 'poly', 'mean', 'many', 'word', 'tick', 'mean', 'blood', 'suck', 'parasite']"
21.0, 1. jan 2007,kvenmaður,"Too belive in something you cant see or feel is hardbut too have no faith may be the hardest of allWho will you lean on when you cant stand alone?Who will you pray too, then you need some help at all?Who will be there, when the last angel has fall?Who do you talk too, when there is no one too listen?He may not be god, but he is something else, something you cant touch, and either see.He may be someone that loves you and everyone else, very deep.Finn ekki nafn….. =/Sorry…. ""All we have to decide is what we do with the time that is given to us""",17,17,1.0,0.5381,"feel, make, life, day, die, live, give, thing, find, cry","['screw', 'rose', 'send', 'thorn', 'chain', 'rope', 'please', 'pain', 'leather', 'lace', 'bind', 'tear', 'whip', 'cuff', 'gain', 'look', 'helplessmake', 'feel', 'strong', 'whimpering', 'darkness', 'want', 'long', 'want', 'hear', 'cry', 'beg', 'mercy', 'plead', 'life', 'try', 'run', 'lock', 'door', 'hope', 'body', 'bitch', 'deplore', 'yet', 'love', 'rose', 'chain', 'master', 'taste', 'descend']"
21.0,18. des 2006,kvenmaður,"When we sit here together, I feel fineOh, so fine….When you say how much you´ve misst meOh, it feels so nice…But when they told me you had left mehow could you then miss meHow could you, how would you even love meWhen we had those long nights, I felt so goodoh, it felt so good….When we shared our hearts, over dinner or TVoh, I wish I could go back…But when they told me you had passed awayhow could we ever do those thingshow could we, how would we live happy after that ""All we have to decide is what we do with the time that is given to us""",18,18,1.0,0.5347,"feel, make, life, day, die, live, give, thing, find, cry","['remember', 'first', 'time', 'meet', 'get', 'taste', 'could', 'feel', 'thrill', 'good', 'true', 'connection', 'love', 'unfounded', 'suspence', 'rule', 'strong', 'feel', 'want', 'shout', 'tell', 'leave', 'see', 'future', 'still', 'suspence', 'controllinglife', 'keep', 'roll', 'someday', 'take', 'lanethe', 'thought', 'end', 'path', 'take', 'bendwill', 'best', 'rest', 'rightnot', 'wrong']"
21.0,13. des 2006,kvenmaður,"When I look back in time, I see your faceThe joy in our eyes, the love in our heartsSo hard too belive it´s all goneWhen I think of all the time we spent togetherall I can think of is smile and happienessSo hard too live without you nowWhen I think of you I wonder if it was all truewonder if you did really love me So hard too understand why you left me aloneWhen I look back in time I look back with a little smile, a little joy So hard too sleep all alone ""All we have to decide is what we do with the time that is given to us""",19,19,1.0,0.5137,"feel, make, life, day, die, live, give, thing, find, cry","['remember', 'love', 'lostfought', 'find', 'costthe', 'smile', 'glaring', 'look', 'remember', 'day', 'day', 'never', 'get', 'burn', 'feel', 'donti', 'never', 'mean', 'mean', 'see', 'live', 'nightor', 'feel', 'love', 'never', 'lostbut', 'throw', 'away', 'high', 'costthe', 'glaring', 'eye', 'owni', 'never', 'feel', 'keep', 'love', 'bring', 'mine', 'mine', 'alonetoo', 'carry', 'roamthe', 'battle', 'fight', 'never', 'seena', 'never', 'mean']"
21.0,31. ágú 2006,kvenmaður,"Where did you go/ I´m aloneWhere did you goI can't feel you breathingYour hands are coldNo more heart beatingI´m aloneMy eyes are bleedingI´m lost without youI´m all aloneWhere did you goI can't reach youYour life passed byWhat am I suppose to doI´m alonecan't find youcan't hear youcan't feel you…..I´m alone…..I´m all alone ""All we have to decide is what we do with the time that is given to us""",20,20,0.0,0.5075,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['eye', 'get', 'violent', 'silence', 'grip', 'skin', 'bleed', 'fear', 'take', 'long', 'become', 'drouzymy', 'eye', 'become', 'heavymy', 'arm', 'bleak', 'reason', 'tearsno', 'cry', 'fearscold', 'shiver', 'hit', 'mesoon', 'be', 'free', 'moment', 'diesin', 'still', 'say', 'good', 'byesmy', 'fist', 'clamp', 'tight', 'layin', 'staynever', 'grow', 'old']"
21.0,26. ágú 2006,kvenmaður,"I’d never give myself I’d never die for youI’d never give you that painThat he put me throughI’d never forgive myselfI could never walk awayWhile your heart were crying bloodThis is more pain then dyingIf you all would just know! ""All we have to decide is what we do with the time that is given to us""",21,21,0.0,0.5307,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['hold', 'hand', 'smile', 'brightthing', 'unspoken', 'thing', 'finemaybe', 'mean', 'much', 'youbut', 'ment', 'world', 'meand', 'maybe', 'thing', 'dowasnt', 'hope', 'hold', 'hand', 'smile', 'brightthing', 'unspoken', 'thing', 'finemaybe', 'know', 'allwe', 'reach', 'shineand', 'maybe', 'know', 'love', 'hold', 'hand', 'smile', 'brightthing', 'unspoken', 'thing', 'die', 'decide', 'time', 'give']"
21.0,22. apr 2006,kvenmaður,"The light that once was in my eyesThe light that you gave me every time you smiledSo hard to let go and to live againThe light is back, but you are notSo many times I wanted to tell you Why this shadow took over your lightSo many times I wish that you could com backSo many nights my love to you breaks out in tearsI know that life can be cruel and meanI know because I feel it every day in meBut we can’t just run and dieI know because you did that and left me all alone ""All we have to decide is what we do with the time that is given to us""",22,22,1.0,0.5496,"feel, make, life, day, die, live, give, thing, find, cry","['life', 'seem', 'dull', 'sometimes', 'incomplete', 'get', 'lonely', 'sometimes', 'long', 'sweet', 'figure', 'want', 'wish', 'could', 'give', 'thing', 'say', 'imply', 'thing', 'say', 'suppose', 'read', 'secret', 'message', 'hide', 'imagination', 'hope', 'feel', 'worth', 'eye', 'fuck', 'act', 'look', 'better', 'wrong', 'offer', 'sometimes', 'lonely', 'sometimes', 'decay', 'sometimes', 'life', 'fade', 'sometimes', 'invisible', 'sometimes', 'see', 'eye', 'eye', 'look', 'well', 'wish', 'eye', 'wish', 'well', 'eye', 'wish', 'show', 'interest', 'wish', 'want', 'look', 'eye', 'tell', 'sometimes', 'eye', 'sometimes', 'best', 'sometimes', 'interested', 'sometimes', 'want', 'nervous', 'breathe', 'afraid', 'denial', 'even', 'tell', 'sit', 'hope', 'possibly', 'stumble', 'poem', 'realize', 'talk', 'want', 'bring', 'gently', 'right', 'fragile', 'could', 'break', 'piece', 'get', 'blow', 'wind', 'hurt', 'feeling', 'wish', 'worth', 'eye', 'infect']"
21.0,27. feb 2006,kvenmaður,"Tears are gone but still I´m bleedingBroken heart but so full of loveLong lost, that wont go awaynot even for a dayTears are gone but still I think of youThe good things that are different nowWith someone else to hold on tightthat beautiful lightTears are gone because of his helpwith love and understanding in his heartBut you are still here and you will not goNot even now, when I love him so ""All we have to decide is what we do with the time that is given to us""",23,23,0.0,0.5538,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['could', 'would', 'keep', 'itkeep', 'feling', 'smileforever', 'darkness', 'sunit', 'matter', 'forever', 'could', 'would', 'holt', 'ithold', 'feeling', 'could', 'would', 'love', 'youforever', 'decide', 'time', 'give']"
21.0,14. feb 2006,kvenmaður,"So beautiful and peacefulthey all smile so nicely to youThe look of these eyesSo bright and clear But even angels fallMake mistakes and cryThere are angels with no smileThere are angels, with a broken heartSo beautiful and peacefulThey all seem so happyBut some angels have sorrowAngels that don´t like “tomorrow”Even angels fall and die…… ""All we have to decide is what we do with the time that is given to us""",24,24,1.0,0.5084,"feel, make, life, day, die, live, give, thing, find, cry","['remember', 'eye', 'ever', 'think', 'thisthink', 'remember', 'hand', 'feel', 'rightyour', 'smile', 'fill', 'know', 'remember', 'lighete', 'many', 'thingsthin', 'can', 'backi', 'remember', 'much', 'growheart', 'heart', 'love', 'alli', 'never', 'think', 'still', 'love', 'long', 'decide', 'time', 'give']"
